English,Chinese,Source,LineNo
Avatar / Avenger,復仇號,07_Glossary/Master_Glossary.md,177
Avatar / Avenger,復仇號,07_Glossary/Ship_Names.md,14
Avenger,復仇者,02_Races/Ilwrath.md,138
Avenger,復仇者,04_Ships/Hierarchy_Ships.md,155
Avenger,復仇者,07_Glossary/Master_Glossary.md,187
Avenger,復仇者,07_Glossary/Ship_Names.md,33
Avenger,復仇者,07_Glossary/Fixed_Terms.csv,75
BEHAVIOR FOLLOWS DICTATED PRIORITIES,行為 遵循 指定優先權,02_Races/Slylandro_Probe.md,136
BGAK!,啊嘧,08_Translation_Rules/Alien_Speech_Rule.md,33
BRAAK!,呱,02_Races/Yehat.md,124
BRAAK!,呐,08_Translation_Rules/Alien_Speech_Rule.md,521
BRAK!,呱咧,02_Races/Yehat.md,126
BURNING RAGE!,燃燒的怒火！,02_Races/Syreen.md,248
BUTT Missile,屁彈飛彈,04_Ships/Hierarchy_Ships.md,157
BUTT Missile,屁彈飛彈,07_Glossary/Master_Glossary.md,234
BUTT Missile,屁彈飛彈,07_Glossary/Tech_Names.md,33
BUTT Missile,屁彈飛彈,07_Glossary/Fixed_Terms.csv,93
BUTT missile,屁彈飛彈,03_Characters/Fwiffo.md,73
Backup Battery,備用電池,05_Technology/Ship_Modules.md,55
Backup Battery,備用電池,07_Glossary/Tech_Names.md,109
Banzai!,萬歲,02_Races/Shofixti.md,136
Banzai!,日式榮譽呼喊,07_Glossary/Master_Glossary.md,428
Banzai!,萬歲,08_Translation_Rules/Alien_Speech_Rule.md,31
Banzai!,Banzai!,07_Glossary/Fixed_Terms.csv,209
Base Metals,基本金屬,05_Technology/Resource_Elements.md,23
Batteries,電池,01_World_Lore/Technology_Level.md,40
Battle Thrall,戰奴,02_Races/Ur_Quan.md,80
Battle Thrall,戰奴,02_Races/Ur_Quan_Kzer_Za.md,116
Battle Thrall,戰奴,07_Glossary/Master_Glossary.md,307
Battle Thrall,戰奴,07_Glossary/Tech_Names.md,146
Battle Thrall,戰奴,07_Glossary/Fixed_Terms.csv,145
"Begone, or we shall uproot you!",走開,02_Races/Supox.md,192
Behemoth,巨獸,04_Ships/Neutral_Ships.md,168
Behemoth,巨獸,07_Glossary/Master_Glossary.md,197
Behemoth,巨獸,07_Glossary/Ship_Names.md,51
Behemoth,巨獸,07_Glossary/Fixed_Terms.csv,84
Benteflork,本鐵佛克,03_Characters/Talking_Pet.md,101
Benteflork,本鐵佛克,03_Characters/Talking_Pet.md,306
Benteflork,本鐵佛克,07_Glossary/Master_Glossary.md,87
Beta Brahe,第谷 β,07_Glossary/Master_Glossary.md,279
Beta Brahe,第谷 β,07_Glossary/Place_Names.md,45
Beta Brahe,布拉赫 β,07_Glossary/Fixed_Terms.csv,179
Beta Corvi,烏鴉座,06_Locations/Star_Systems.md,47
Beta Corvi,烏鴉座 β,07_Glossary/Master_Glossary.md,274
Beta Corvi,烏鴉座 β,07_Glossary/Place_Names.md,36
Beta Corvi,烏鴉座 β,07_Glossary/Fixed_Terms.csv,174
Beta Leporis,天兔座,02_Races/Supox.md,203
Betelgeuse,參宿四,06_Locations/Star_Systems.md,34
Betelgeuse,參宿四,07_Glossary/Master_Glossary.md,265
Betelgeuse,參宿四,07_Glossary/Place_Names.md,27
Betelgeuse,參宿四,09_AI_Prompt/Translate_Lore.md,144
Betelgeuse,參宿四,07_Glossary/Fixed_Terms.csv,165
Big Plan,大計畫,02_Races/Umgah.md,136
Big deal!,大不了,03_Characters/Talking_Pet.md,120
Big deal! So what,那又怎樣？ 沒什麼大不了的。,02_Races/Dnyarri.md,193
Bio-Repair Bay,生物修復艙,05_Technology/Ship_Modules.md,56
Bio-Repair Bay,生物修復艙,07_Glossary/Tech_Names.md,110
Bio-data,生物資料,01_World_Lore/Technology_Level.md,34
Biological Data,生物資料,05_Technology/Resource_Elements.md,39
Birth breathes warmth across a cold world,誕生為冷寂世界吹入溫暖,02_Races/Mycon.md,145
Birthing Fleet,孵化艦隊,02_Races/Mycon.md,133
Birthing Fleet,孕育艦隊,07_Glossary/Master_Glossary.md,130
Blade,鋒刃艦,04_Ships/Neutral_Ships.md,160
Blade,鐢刃艦,07_Glossary/Master_Glossary.md,191
Blade,鐢刃艦,07_Glossary/Ship_Names.md,43
Blade,鋒刃艦,07_Glossary/Fixed_Terms.csv,79
Blaster,爆能砲,07_Glossary/Master_Glossary.md,368
Blaster,爆能砲,07_Glossary/Tech_Names.md,101
Blazer Form,燃燒衝撞形態,07_Glossary/Tech_Names.md,38
Blazer Form,燃燒衝撞形態,07_Glossary/Fixed_Terms.csv,98
Blazing Guns of Glory,榮耀烈焰砲號,02_Races/Thraddash.md,195
Blood / Flesh,鮮血 / 血肉,02_Races/Ilwrath.md,131
Blood for Dogar! / Agony for Kazon!,鮮血獻予多加！ 痛苦獻予卡宗！,02_Races/Ilwrath.md,124
Braky Girdy the First,布拉基·葛迪一世,07_Glossary/Master_Glossary.md,396
Broodhome,母巢艦,04_Ships/Alliance_Ships.md,136
Broodhome,母巢艦,07_Glossary/Master_Glossary.md,175
Broodhome,母巢艦,07_Glossary/Ship_Names.md,12
Broodhome,母巢艦,07_Glossary/Fixed_Terms.csv,62
Bubble Cannon,泡泡彈,07_Glossary/Tech_Names.md,37
Bubble Cannon,泡泡彈,07_Glossary/Fixed_Terms.csv,97
Bummer,真衰,02_Races/Zoq_Fot_Pik.md,139
Buppo,布波,02_Races/Zoq_Fot_Pik.md,157
Burvixese,布維族,07_Glossary/Master_Glossary.md,74
Burvixese,布維族,07_Glossary/Master_Glossary.md,393
Burvixese,布維族,07_Glossary/Fixed_Terms.csv,38
CLACK!,咔咧,02_Races/Yehat.md,130
COWABUNGA,牛轟啊！,02_Races/Syreen.md,242
Caer Zeep-Reep,凱爾茲皮里普,02_Races/Yehat.md,140
Cannon,重砲,07_Glossary/Tech_Names.md,46
Cannon,重砲,07_Glossary/Tech_Names.md,51
Cannon,重砲,07_Glossary/Fixed_Terms.csv,107
Cannon Turret,火砲砲塔,05_Technology/Ship_Modules.md,47
Cannon Turret,火砲砲塔,07_Glossary/Tech_Names.md,98
Canopy,樹冠,02_Races/Supox.md,173
Captain,艦長,01_World_Lore/Political_System.md,97
Captain,艦長,03_Characters/Commander_Hayes.md,64
Captain,艦長,03_Characters/Talana.md,67
Captain Burton,巴頓艦長,07_Glossary/Fixed_Terms.csv,51
Captain Chi,齊船長,07_Glossary/Fixed_Terms.csv,53
Captain Chi / Mr. Chi,齊船長,07_Glossary/Master_Glossary.md,158
Captain Chudd / Grah / Korgk,恰德艦長／格拉／柯格克,02_Races/Thraddash.md,197
Captain I. Burton,巴頓艦長,07_Glossary/Master_Glossary.md,157
Captain I. Burton,巴頓艦長,07_Glossary/Fixed_Terms.csv,52
Captain Rand,蘭德艦長,07_Glossary/Master_Glossary.md,160
Captain Rand,蘭德艦長,07_Glossary/Fixed_Terms.csv,56
Cdr. Hayes,海斯艦長,07_Glossary/Fixed_Terms.csv,44
Celts / children of the Celts,凱爾特人 / 凱爾特孩子,02_Races/Arilou.md,129
Ceremony of Consumption,吞噬儀式,02_Races/Ilwrath.md,132
Ceres Base,穀神星基地,07_Glossary/Master_Glossary.md,292
Ceres Base,穀神星基地,07_Glossary/Place_Names.md,15
Channel 44,44 號頻道,02_Races/Ilwrath.md,123
Cheep-Guava,奇普-瓜瓦,07_Glossary/Master_Glossary.md,394
Chenjesu,全小寫,00_Project_Control/Dossier_Voice_Audit_2026-08-15.md,105
Chenjesu,合併,00_Project_Control/Dossier_Voice_Audit_2026-08-15.md,161
Chenjesu,晶智族,07_Glossary/Master_Glossary.md,47
Chenjesu,全小寫詩意冥想,08_Translation_Rules/Alien_Speech_Rule.md,92
Chenjesu,晶智族,07_Glossary/Fixed_Terms.csv,7
Chief Groo,首領古魯,07_Glossary/Master_Glossary.md,109
Chimt,欽特,07_Glossary/Master_Glossary.md,103
Chinz-Rahl celebration,欽茲拉爾（Chinz-Rahl）慶典,07_Glossary/Master_Glossary.md,107
Chmmr,全大寫神諭體,00_Project_Control/Dossier_Voice_Audit_2026-08-15.md,108
Chmmr,融合前,00_Project_Control/Dossier_Voice_Audit_2026-08-15.md,136
Chmmr,查姆族,07_Glossary/Master_Glossary.md,49
Chmmr,全大寫神諭體,08_Translation_Rules/Alien_Speech_Rule.md,91
Chmmr,查姆族,07_Glossary/Fixed_Terms.csv,9
Clan,氏族,02_Races/Yehat.md,138
Cleanse / Cleansing,淨化,02_Races/Ur_Quan_Kohr_Ah.md,112
Clear Spindle,澄澈紡錐,07_Glossary/Master_Glossary.md,229
Clear Spindle,澄澈紡錘,07_Glossary/Tech_Names.md,16
Cloaking Device,隱形裝置,02_Races/Ilwrath.md,137
Commander,指揮官 / 艦長,01_World_Lore/Political_System.md,98
Commander Hayes,海斯艦長,07_Glossary/Fixed_Terms.csv,43
Commander Hayes / Cdr. Hayes,海斯艦長,07_Glossary/Master_Glossary.md,148
Common Metals,一般金屬,05_Technology/Resource_Elements.md,11
Confusion Beam,迷亂光束,07_Glossary/Tech_Names.md,53
Confusion Beam,迷亂光束,07_Glossary/Fixed_Terms.csv,113
"Consider it, and consider well",好好考慮,03_Characters/Trade_Master_Greenish.md,73
"Consider it, and consider well","好好考慮,仔細考慮",07_Glossary/Master_Glossary.md,388
Contract,合約,02_Races/Druuge.md,172
Corrosives,腐蝕物,05_Technology/Resource_Elements.md,17
Cosmic aura,宇宙氣場,02_Races/Pkunk.md,76
Creators,造物主,02_Races/Mycon.md,143
Creators,創世者,07_Glossary/Master_Glossary.md,133
Credits,信用點數,07_Glossary/Fixed_Terms.csv,136
Credits / Interstar Credits,星幣,03_Characters/Trade_Master_Greenish.md,69
Credits / Interstar Credits,星幣,05_Technology/Resource_Elements.md,47
Credits / Interstar Credits,星幣,07_Glossary/Tech_Names.md,137
Crew Pod,船員艙,01_World_Lore/Technology_Level.md,41
Crew Pod,船員艙,05_Technology/Ship_Modules.md,35
Crew Pod,船員艙,07_Glossary/Master_Glossary.md,374
Crew Pod,船員艙,07_Glossary/Tech_Names.md,88
Crew Pod,船員艙,07_Glossary/Fixed_Terms.csv,138
Crimson Corporation,血紅集團,02_Races/Druuge.md,175
Crimson Corporation,血紅集團,07_Glossary/Master_Glossary.md,316
Crimson Corporation,紅色財團,07_Glossary/Fixed_Terms.csv,154
Cripes!,唉唷,02_Races/Zoq_Fot_Pik.md,134
Cripes! We've been through this a million times!,唉唷,02_Races/Zoq_Fot_Pik.md,144
Cruel Monster! Bloated Villain! Slicer of innocent throats!,殘忍的怪物,02_Races/Druuge.md,187
Culture Nineteen,第十九文化,07_Glossary/Master_Glossary.md,323
Culture Nineteen,第十九文化,07_Glossary/Fixed_Terms.csv,155
Culture Nineteen / Twelve / Three / etc,第十九文化／第十二文化／第三文化,02_Races/Thraddash.md,178
Culture Twenty,第二十文化,02_Races/Thraddash.md,193
Culture Twenty,第二十文化,07_Glossary/Master_Glossary.md,331
Culture Two/Three/.../Twenty,第X文化,07_Glossary/Master_Glossary.md,324
Cutter,切割艦,04_Ships/Neutral_Ships.md,167
Cutter,切割艦,07_Glossary/Master_Glossary.md,196
Cutter,切割艦,07_Glossary/Ship_Names.md,50
Cutter,切割艦,07_Glossary/Fixed_Terms.csv,83
DEFENSE SYSTEM HAS BEEN ENGAGED,防禦系統已啟動,02_Races/Slylandro_Probe.md,133
DESTROY THE SA-MATRA!,摧毀薩馬特拉！,02_Races/Chmmr.md,117
DO NOT FEAR. WE SHALL NOT HARM YOU,請勿驚懼。 我方將不傷害你。,02_Races/Slylandro_Probe.md,124
DOGI,自導引拒斥獵射殺器,02_Races/Chenjesu.md,115
DRAHNASA,德拉納薩,02_Races/Slylandro_Probe.md,128
Daikon,蘿蔔,02_Races/Shofixti.md,137
Daikon,蘿蔔,07_Glossary/Fixed_Terms.csv,59
Dang!,啐！,03_Characters/Talking_Pet.md,122
Data analyzed,數據分析完畢,02_Races/Mmrnmhrm.md,77
Death March,死亡進軍,02_Races/Ur_Quan_Kohr_Ah.md,118
Deep Child,深層幼體,02_Races/Druuge.md,208
Deep Child,深子,07_Glossary/Tech_Names.md,20
Deep Child / Deep Children,深層幼體,07_Glossary/Master_Glossary.md,119
Deep Children,深層幼體,02_Races/Mycon.md,130
Deep Children,深淵之子,02_Races/Syreen.md,239
Definition of Starship Derelicts,星艦廢船之定義,02_Races/Druuge.md,177
Deific Duo / Arch-Deific Duo,雙神 / 至尊雙神,02_Races/Ilwrath.md,136
Delta Crateris,巨爵座,06_Locations/Star_Systems.md,46
Delta Crateris,巨爵座 δ,07_Glossary/Master_Glossary.md,275
Delta Crateris,巨爵座 δ,07_Glossary/Place_Names.md,37
Delta Crateris,巨爵座 δ,07_Glossary/Fixed_Terms.csv,175
Delta Lyncis,天貓座 δ,07_Glossary/Master_Glossary.md,268
Delta Vulpeculae,狐狸座,06_Locations/Star_Systems.md,36
Delta Vulpeculae,狐狸座 δ,07_Glossary/Place_Names.md,38
Delta Vulpeculae,狐狸座 δ,07_Glossary/Fixed_Terms.csv,176
Deneb,天津四,09_AI_Prompt/Translate_Lore.md,150
Depart,離開。,02_Races/Druuge.md,170
Depart,走開,03_Characters/Admiral_ZEX.md,73
Dgrunti,蒂格倫提,07_Glossary/Master_Glossary.md,469
Dgrunti,蒂格倫提,07_Glossary/Fixed_Terms.csv,198
Dhrang,保留原文,07_Glossary/Master_Glossary.md,468
Dhrang,Dhrang,07_Glossary/Fixed_Terms.csv,197
Diani,迪安妮,02_Races/Syreen.md,252
Dnyarri,假,00_Project_Control/Dossier_Voice_Audit_2026-08-15.md,135
Dnyarri,蟾亞,02_Races/Ur_Quan_Kzer_Za.md,127
Dnyarri,蟾亞,03_Characters/Talking_Pet.md,95
Dnyarri,蟾亞族,03_Characters/Talking_Pet.md,304
Dnyarri,蟾亞族,07_Glossary/Master_Glossary.md,70
Dnyarri,蟾亞族,07_Glossary/Fixed_Terms.csv,33
Doctrinal Conflict / Doctrinal War,教義戰爭,07_Glossary/Master_Glossary.md,101
Doctrinal War,教義戰爭,07_Glossary/Fixed_Terms.csv,147
Doctrinal War / Doctrinal Conflict,教義戰爭,07_Glossary/Master_Glossary.md,309
Doctrinal War / Doctrinal Conflict,教義戰爭,08_Translation_Rules/Alien_Speech_Rule.md,156
Doctrine,教義,02_Races/Ur_Quan.md,78
Doctrine / Doctrinal War,教義 / 教義戰爭,02_Races/Ur_Quan_Kzer_Za.md,114
Doctrine of Extermination,滅絕派,07_Glossary/Master_Glossary.md,311
Doctrine of Extermination,滅絕派,07_Glossary/Tech_Names.md,150
Doctrine of Extermination,滅絕派,07_Glossary/Fixed_Terms.csv,149
Doctrine of Slavery,奴役派,07_Glossary/Master_Glossary.md,310
Doctrine of Slavery,奴役派,07_Glossary/Tech_Names.md,149
Doctrine of Slavery,奴役派,07_Glossary/Fixed_Terms.csv,148
Dogar,多加,02_Races/Ilwrath.md,117
Dogar,多加,07_Glossary/Master_Glossary.md,343
Dogar,多加,08_Translation_Rules/Alien_Speech_Rule.md,143
Dogar,多加,07_Glossary/Fixed_Terms.csv,157
Dogar The Black,黑色的多加,02_Races/Ilwrath.md,119
Dogar and Kazon routine,多加與卡宗把戲,02_Races/Umgah.md,144
Double bummer!,雙重衰,02_Races/Zoq_Fot_Pik.md,140
Draconis,天龍座,06_Locations/Star_Systems.md,44
Draconis,天龍座,07_Glossary/Master_Glossary.md,276
Draconis,天龍座,07_Glossary/Place_Names.md,31
Draconis,天龍座,07_Glossary/Fixed_Terms.csv,169
Drahn,保留原文,02_Races/Slylandro.md,73
Drall,卓爾族,07_Glossary/Master_Glossary.md,75
Drall,卓爾族,07_Glossary/Fixed_Terms.csv,39
Dramya,卓米雅,07_Glossary/Master_Glossary.md,364
Dravatz,卓瓦茲,03_Characters/Safe_Ones_High_Council.md,99
Dreadnought,無畏艦,02_Races/Ur_Quan_Kzer_Za.md,121
Dreadnought,無畏艦,04_Ships/Hierarchy_Ships.md,148
Dreadnought,無畏艦,07_Glossary/Master_Glossary.md,173
Dreadnought,無畏艦,07_Glossary/Ship_Names.md,26
Dreadnought,無畏艦,07_Glossary/Fixed_Terms.csv,60
Drell,卓爾,07_Glossary/Master_Glossary.md,105
Dribble-Down effect,「涓滴」效應,07_Glossary/Master_Glossary.md,322
Dribble-Down' effect,「涓滴」效應,02_Races/Druuge.md,181
Drift / Float,漂浮 / 漂流,02_Races/Slylandro.md,74
Drone,蜂機艦,04_Ships/Hierarchy_Ships.md,152
Drone,蜂機艦,07_Glossary/Master_Glossary.md,184
Drone,蜂機艦,07_Glossary/Ship_Names.md,30
Drone,蜂機艦,07_Glossary/Fixed_Terms.csv,72
Drone / Umgah Drone,無人機,02_Races/Umgah.md,143
Druuge,商業敬語,00_Project_Control/Dossier_Voice_Audit_2026-08-15.md,68
Druuge,毒賈族,07_Glossary/Master_Glossary.md,66
Druuge,毒賈族,07_Glossary/Fixed_Terms.csv,29
"Druuge Statute 3183 - subsection B2, Legal Circumstances Permitting Unwarranted Attack",毒賈條例 3183 號－B2 分項〈允許無因攻擊之法定情境〉,07_Glossary/Master_Glossary.md,319
Druuge Statute 3429 - subsection A86,毒賈條例 3429 號－A86 分項,02_Races/Druuge.md,176
"Druuge Statute 3429 - subsection A86, Definition of Starship Derelicts",毒賈條例 3429 號－A86 分項〈星艦廢船之定義〉,07_Glossary/Master_Glossary.md,318
Dugee,杜奇,07_Glossary/Master_Glossary.md,123
Dust,塵埃 / 塵土,02_Races/Ur_Quan_Kohr_Ah.md,114
Dust World,塵行星,06_Locations/Planet_Types.md,14
Dust World,塵行星,07_Glossary/Place_Names.md,75
Dynamic Triangle,機動三角陣,07_Glossary/Master_Glossary.md,404
Dynamo,發電機,01_World_Lore/Technology_Level.md,42
Dynamo,能量發電機模組,07_Glossary/Master_Glossary.md,373
Dynamo Unit,發電機,05_Technology/Ship_Modules.md,54
Dynamo Unit,發電機,07_Glossary/Tech_Names.md,108
ENACTING THIRD LAW,執行第三定律。,02_Races/Slylandro_Probe.md,130
ENACTING THIRD LAW,執行第三定律（自保）。,07_Glossary/Master_Glossary.md,406
END CONTACT SUB-SEQUENCE,接觸 子程序 結束,02_Races/Slylandro_Probe.md,144
END OF MISSION DESCRIPTION,任務 說明 結束,02_Races/Slylandro_Probe.md,143
ENGAGING SELF-ANNIHILATION CIRCUIT,啟動 自毀 迴路,02_Races/Slylandro_Probe.md,145
Earth,地球,07_Glossary/Master_Glossary.md,260
Earth,地球,07_Glossary/Place_Names.md,13
Earth,地球,07_Glossary/Fixed_Terms.csv,162
Eat Flaming Death You Gravy Sucking Pig!,去吃烈焰死亡吧,02_Races/Thraddash.md,199
Eeeeh!,咿咿,03_Characters/Fwiffo.md,69
Eluder,迴避者,04_Ships/Hierarchy_Ships.md,151
Eluder,迴避者,07_Glossary/Master_Glossary.md,183
Eluder,迴避者,07_Glossary/Ship_Names.md,29
Eluder,迴避者,09_AI_Prompt/Reaudit_Dialogue.md,431
Eluder,迴避者,07_Glossary/Fixed_Terms.csv,71
Emperor / Empress,皇帝 / 女皇,01_World_Lore/Political_System.md,100
Empress / Queen,女皇陛下 / 女皇,02_Races/Yehat.md,141
Endurance,耐受 / 持續,02_Races/Mmrnmhrm.md,81
Epsilon Camelopardalis,鹿豹座,06_Locations/Star_Systems.md,48
Epsilon Camelopardalis,鹿豹座 ε,07_Glossary/Place_Names.md,42
Escape Pod,逃生艙,01_World_Lore/Technology_Level.md,36
Eternal Doctrine,永恆教條,02_Races/Ur_Quan.md,84
Eternal Doctrine,永恆教條,02_Races/Ur_Quan_Kohr_Ah.md,117
Eternal Doctrine,永恆教條,07_Glossary/Master_Glossary.md,313
Eternal Doctrine,永恆教條,07_Glossary/Master_Glossary.md,355
Eternal Doctrine,永恆教條,08_Translation_Rules/Alien_Speech_Rule.md,155
Eternal Doctrine,永恆教條,07_Glossary/Fixed_Terms.csv,151
Evil Ones,邪惡者,03_Characters/Safe_Ones_High_Council.md,87
Exceptional bargain,絕無僅有的超值優惠,02_Races/Druuge.md,174
Excruciator,極痛裝置,02_Races/Ur_Quan.md,82
Excruciator,極痛裝置,02_Races/Ur_Quan_Kzer_Za.md,122
Excruciator,極痛裝置,03_Characters/Talking_Pet.md,106
Excruciator,極痛裝置,03_Characters/Talking_Pet.md,312
Excruciator,苦刑器,07_Glossary/Master_Glossary.md,92
Excruciator,見上,07_Glossary/Master_Glossary.md,232
Excruciator,極痛裝置,07_Glossary/Tech_Names.md,21
Excruciator,極痛裝置,07_Glossary/Tech_Names.md,151
Exotic Elements,特殊元素,05_Technology/Resource_Elements.md,33
Experiment / Genetic Modification,實驗 / 基因改造,02_Races/Umgah.md,139
F.R.I.E.D. Blades,旋轉刀刃,07_Glossary/Tech_Names.md,30
F.R.I.E.D. Blades,旋轉刀刃,07_Glossary/Fixed_Terms.csv,90
FALSE Royals,偽王室,07_Glossary/Master_Glossary.md,399
Fahz,法茲,07_Glossary/Master_Glossary.md,104
Faker,騙子,02_Races/Zoq_Fot_Pik.md,141
Falayalaralfali,法拉雅拉拉法利,02_Races/Arilou.md,136
Falayalaralfali,法拉雅拉拉法利,07_Glossary/Master_Glossary.md,289
Falayalaralfali,法拉雅拉拉法利,07_Glossary/Place_Names.md,66
Falayalaralfali,法拉雅拉拉法利,07_Glossary/Fixed_Terms.csv,190
Fallow Slave,禁足奴族,02_Races/Ur_Quan.md,81
Fallow Slave,禁足奴族,02_Races/Ur_Quan_Kzer_Za.md,117
Fallow Slave,禁足奴族,07_Glossary/Master_Glossary.md,308
